iteration,r2,mae,rmse,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_max_leaf_nodes,best_min_impurity_decrease
1,0.399836828,0.331083209,0.37321608,992,37,15,17,0.5,TRUE,941,0.036447218
2,0.407958315,0.310304968,0.360344315,866,38,14,16,0.7,TRUE,1000,0
3,0.442710077,0.272223773,0.29436391,1000,50,14,20,0.5,FALSE,870,0
4,0.542710077,0.222223773,0.25436391,1000,50,14,20,0.5,FALSE,870,0
5,0.542710077,0.222223773,0.25436391,1000,50,14,20,0.5,FALSE,870,0
6,0.542710077,0.222223773,0.25436391,985,49,15,20,0.5,FALSE,1000,0
7,0.542710077,0.222223773,0.25436391,985,49,15,20,0.5,FALSE,1000,0
8,0.755231267,0.131235019,0.238343683,963,39,20,16,sqrt,FALSE,1000,0
9,0.756574848,0.129548003,0.237688626,1000,50,20,15,sqrt,FALSE,1000,0
10,0.760540515,0.125346772,0.23574457,1000,50,19,12,log2,FALSE,1000,0
11,0.769415238,0.116159466,0.231334804,1000,50,20,5,sqrt,FALSE,921,0
12,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
13,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
14,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
15,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
16,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
17,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
18,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
19,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
20,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
21,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
22,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
23,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
24,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
25,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
26,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
27,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
28,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
29,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
30,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
31,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
32,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
33,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
34,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
35,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
36,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
37,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
38,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
39,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
40,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
