iteration,r2,mae,rmse,best_C,best_gamma,best_kernel,best_degree,best_coef0,best_tol,best_epsilon,best_max_iter,best_shrinking
1,0.455281395,0.259075976,0.355559085,4.689400964,0.000498275,linear,5,9.737555188,4.99E-05,0.09970037,36773,TRUE
2,0.478599778,0.251291698,0.347865438,1.315655928,0.000472155,poly,5,10,3.38E-05,0.093887428,37718,TRUE
3,0.478599778,0.251291698,0.347865438,1.315655928,0.000472155,poly,5,10,3.38E-05,0.093887428,37718,TRUE
4,0.511485748,0.239843626,0.33671642,2.084760439,0.000659306,poly,5,10,2.42E-05,0.112534469,33015,TRUE
5,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
6,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
7,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
8,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
9,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
10,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
11,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
12,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
13,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
14,0.542188556,0.209324939,0.325963519,1.739993127,0.001099926,poly,5,10,1.00E-05,0.081152331,32580,TRUE
15,0.559181787,0.217674865,0.319856691,0.941384056,0.030602164,poly,4,10,2.82E-05,0.101959251,37251,TRUE
16,0.559181787,0.217674865,0.319856691,0.941384056,0.030602164,poly,4,10,2.82E-05,0.101959251,37251,TRUE
17,0.559181787,0.217674865,0.319856691,0.941384056,0.030602164,poly,4,10,2.82E-05,0.101959251,37251,TRUE
18,0.559181787,0.217674865,0.319856691,0.941384056,0.030602164,poly,4,10,2.82E-05,0.101959251,37251,TRUE
19,0.559181787,0.217674865,0.319856691,0.941384056,0.030602164,poly,4,10,2.82E-05,0.101959251,37251,TRUE
