iteration,r2,mae,rmse,best_n_estimators,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_colsample_bylevel,best_colsample_bynode,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_gamma,best_max_delta_step,best_scale_pos_weight
1,0.551977,0.236954,0.339923,774,15,0.088691219,0.931495004,0.742701331,0.712373804,0.817078433,0.140924225,0.802196981,1,0.078182034,8,1.658367154
2,0.75734,0.122801,0.237315,1000,15,0.080751669,0.981534716,0.846800213,0.842666203,0.805752746,0.131064848,0.976666172,1,0,10,1.235274227
3,0.758997,0.119788,0.236503,1000,15,0.046143062,1,1,0.710896958,0.931358025,0.222894707,1,1,0,10,1.402431719
4,0.785044,0.107465,0.223358,1000,15,0.020636459,1,1,0.787143875,0.84430038,0.145554096,1,1,0,10,0.5
5,0.785044,0.107465,0.223358,1000,15,0.01483636,1,1,0.927175799,1,0.046284636,1,1,0,10,0.5
6,0.778991,0.098006,0.22648,1000,15,0.01,1,1,0.938240738,0.963148694,0.09387064,1,1,0,10,0.5
7,0.78724,0.095889,0.222214,1000,15,0.01,1,1,0.872206182,0.975671608,0,1,1,0,10,0.5
8,0.78724,0.095889,0.222214,1000,15,0.01,1,1,0.937930533,0.998383325,0.103071967,1,1,0,10,0.5
9,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.937930533,0.998383325,0.103071967,1,1,0,10,0.5
10,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.960422912,0.998284511,0.054059081,1,1,0,10,0.5
11,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.960422912,0.998284511,0.054059081,1,1,0,10,0.5
12,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.960422912,0.998284511,0.054059081,1,1,0,10,0.5
13,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.854766453,0.999417325,0.136721508,1,1,0,10,0.5
14,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.854766453,0.999417325,0.136721508,1,1,0,10,0.5
15,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.854766453,0.999417325,0.136721508,1,1,0,10,0.5
16,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.898172413,0.999147338,0.163537646,1,1,0,10,0.5
17,0.787671,0.094759,0.221988,1000,15,0.01,1,1,0.898172413,0.999147338,0.163537646,1,1,0,10,0.5
18,0.788342,0.094544,0.221637,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
19,0.788327,0.094515,0.221645,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
20,0.788327,0.094515,0.221645,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
21,0.788327,0.094515,0.221645,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
22,0.788327,0.094515,0.221645,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
23,0.788327,0.094515,0.221645,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
24,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
25,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.953471335,0.999131308,0.128283036,1,1,0,10,0.5
26,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
27,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
28,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
29,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
30,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
31,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
32,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
33,0.789442,0.0943,0.221061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
34,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
35,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
36,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
37,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
38,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
39,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
40,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
41,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
42,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
43,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
44,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
45,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
46,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
47,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
48,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.957576145,1,0.040511226,1,1,0,10,0.5
49,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
50,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
51,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
52,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
