generation,r2,mae,rmse,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_max_leaf_nodes,best_min_impurity_decrease
1,0.50974958,0.2559994,0.299544664,742,50,19,3,0.5,FALSE,42,0.005959444
2,0.554645745,0.227972576,0.288628589,1000,50,2,1,0.5,FALSE,10,0
3,0.661611885,0.183824061,0.265216604,565,50,18,1,0.3,TRUE,1000,0
4,0.666140481,0.182871727,0.262971718,50,41,20,5,0.3,FALSE,1000,0
5,0.671609649,0.161674785,0.242231399,789,50,2,3,log2,FALSE,166,0
6,0.703119479,0.160061209,0.234469136,789,50,17,1,log2,FALSE,1000,0
7,0.753119479,0.130061209,0.234469136,789,50,17,1,log2,FALSE,1000,0
8,0.753119479,0.130061209,0.234469136,1000,50,20,1,log2,FALSE,1000,0
9,0.753119479,0.130061209,0.234469136,1000,50,20,1,log2,FALSE,1000,0
10,0.776338047,0.118318182,0.227835678,1000,50,2,1,log2,FALSE,920,0
11,0.776338047,0.118318182,0.227835678,1000,50,2,1,log2,FALSE,920,0
12,0.776338047,0.118318182,0.227835678,1000,50,2,1,log2,FALSE,920,0
13,0.776338047,0.118318182,0.227835678,1000,50,2,1,log2,FALSE,920,0
14,0.776338047,0.118318182,0.227835678,1000,50,2,1,log2,FALSE,920,0
15,0.776655134,0.106888558,0.221674118,183,31,2,1,0.3,FALSE,527,0
16,0.776655134,0.106888558,0.221674118,183,31,2,1,0.3,FALSE,527,0
17,0.776655134,0.106888558,0.221674118,183,31,2,1,0.3,FALSE,527,0
18,0.776655134,0.106888558,0.221674118,183,31,2,1,0.3,FALSE,527,0
19,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
20,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
21,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
22,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
23,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
24,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
25,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
26,0.777663056,0.108165869,0.217159807,475,41,2,1,log2,FALSE,879,0
