generation,r2,mae,rmse,best_C,best_gamma,best_kernel,best_degree,best_coef0,best_tol,best_epsilon,best_max_iter,best_shrinking
1,0.553143115,0.210921106,0.337042093,2.052313905,1.402889037,rbf,3,7.045718362,1.37E-05,0.235619293,19965,TRUE
2,0.553143115,0.210921106,0.337042093,2.052313905,1.402889037,rbf,3,7.045718362,1.37E-05,0.235619293,19965,TRUE
3,0.553143115,0.210921106,0.337042093,2.052313905,1.402889037,rbf,3,7.045718362,1.37E-05,0.235619293,19965,TRUE
4,0.553143115,0.210921106,0.337042093,2.052313905,1.402889037,rbf,3,7.045718362,1.37E-05,0.235619293,19965,TRUE
5,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
6,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
7,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
8,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
9,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
10,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
11,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
12,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
13,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
14,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
15,0.575188778,0.18574168,0.313995675,15.15582539,1.124422907,rbf,3,1.251664643,0.000243311,0.01,49325,FALSE
16,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
17,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
18,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
19,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
20,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
21,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
22,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
23,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
24,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
25,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
26,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
27,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
28,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
29,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
30,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
31,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
32,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
33,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
34,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
35,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
36,0.591742041,0.181791854,0.307817287,1000,0.203505074,rbf,5,0,1.00E-05,0.027054165,50000,TRUE
37,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
38,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
39,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
40,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
41,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
42,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
43,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
44,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
45,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
46,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
47,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
48,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
49,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
50,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
51,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
52,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
53,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
54,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
55,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
56,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
57,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
58,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
59,0.598676181,0.17703334,0.305191999,408.0072354,0.222465918,rbf,5,8.216938044,0.001533143,0.01,50000,FALSE
