generation,r2,mae,rmse,best_n_estimators,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_colsample_bylevel,best_colsample_bynode,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_gamma,best_max_delta_step,best_scale_pos_weight
1,0.663866951,0.183568331,0.274101428,819,15,0.041635634,0.708686043,0.761672624,0.6,0.817044456,0.420143518,0.87585294,1,0.029480418,6,0.813014388
2,0.760196325,0.109644461,0.235913934,1000,15,0.041584375,0.6,1,0.6,0.685759995,0.738697519,0,1,0,0,0.5
3,0.760196325,0.109644461,0.235913934,1000,15,0.041584375,0.6,1,0.6,0.685759995,0.738697519,0,1,0,0,0.5
4,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
5,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
6,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
7,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
8,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
9,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
10,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
11,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
12,0.781454318,0.09998766,0.22521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
13,0.791454318,0.09198766,0.20521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
14,0.791454318,0.09198766,0.20521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
15,0.791454318,0.09198766,0.20521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
16,0.791454318,0.09198766,0.20521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
17,0.791454318,0.09198766,0.20521473,1000,15,0.041616938,1,0.998383347,0.6,0.6,0,0,2,0,10,0.5
18,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
19,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
20,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
21,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
22,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
23,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
24,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
25,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
26,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
27,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
28,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
29,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
30,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
31,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
32,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
33,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
34,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
35,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
36,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
37,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
38,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
39,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
40,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
41,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
42,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
43,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
44,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
45,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
46,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
47,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
48,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
49,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
50,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
51,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
52,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
53,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
54,0.821200034,0.075090503,0.160135907,1000,15,0.01,1,1,1,0.6,0.036048419,0,1,0,6,0.5
55,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
56,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
57,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
58,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
59,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
60,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
61,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
62,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
63,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
64,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
65,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
66,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
67,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
68,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
69,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
70,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
71,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
72,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
73,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
74,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
75,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
76,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
77,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
78,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
79,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
80,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
81,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
82,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
83,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
84,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
85,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
86,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
87,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
88,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
89,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
90,0.841318621,0.071966559,0.110073386,813,15,0.01,1,1,1,0.995257384,0.166810595,0.718503456,1,0,6,0.5
