iteration,r2,mae,rmse,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_leaf_nodes,param_min_impurity_decrease
1,-0.010900119,0.45071126,0.484372858,704,10,2,9,log2,TRUE,152,0.147294243
2,0.70974958,0.1559994,0.259544664,742,50,19,3,0.5,FALSE,42,0.005959444
3,-0.010699519,0.450835721,0.484324797,273,17,18,20,sqrt,TRUE,743,0.129976888
4,-0.011282315,0.450477258,0.484464414,608,29,9,15,0.5,FALSE,838,0.173860064
5,-0.011013786,0.450641244,0.48440009,827,13,15,11,,TRUE,230,0.191442614
6,-0.011282315,0.450477258,0.484464414,394,9,4,13,sqrt,FALSE,877,0.068791144
7,-0.011282315,0.450477258,0.484464414,320,5,16,18,sqrt,FALSE,90,0.110408126
8,-0.01102689,0.450633195,0.484403229,899,43,13,19,log2,TRUE,56,0.132252664
9,0.28215191,0.369677783,0.408170817,841,21,4,8,0.9,TRUE,399,0.055594721
10,0.33403292,0.347832565,0.393144367,700,26,7,12,,TRUE,696,0.053395564
11,-0.010959933,0.450674371,0.484387188,749,44,4,20,0.7,TRUE,556,0.14582536
12,0.02129939,0.444258532,0.476596233,217,32,14,9,0.7,TRUE,711,0.064856547
13,0.284532056,0.348560909,0.407493576,836,6,9,2,0.9,FALSE,420,0.053548175
14,-0.011282315,0.450477258,0.484464414,266,39,12,7,0.7,FALSE,415,0.176936631
15,-0.010923182,0.450697025,0.484378384,708,32,6,9,log2,TRUE,772,0.112273627
16,0.334396274,0.35083362,0.393037101,319,50,20,14,0.5,FALSE,380,0.043864152
17,0.534403578,0.2646078,0.328723304,191,35,17,3,0.9,TRUE,891,0.021929826
18,-0.011282315,0.450477258,0.484464414,692,13,15,20,sqrt,FALSE,400,0.119177686
19,-0.010908481,0.450706097,0.484374862,529,36,10,18,0.9,TRUE,706,0.144144364
20,0.358168645,0.348839954,0.385954528,748,37,10,11,sqrt,FALSE,455,0.031631551
21,-0.010598352,0.450898932,0.484300557,53,49,10,17,0.9,TRUE,529,0.182525568
22,-0.011033831,0.450628934,0.484404892,941,43,11,17,0.5,TRUE,166,0.074782771
23,0.732497784,0.138561649,0.249166337,215,37,18,1,0.5,FALSE,510,0.003895348
24,-0.010853196,0.45074027,0.484361617,421,22,9,2,log2,TRUE,97,0.146381519
25,-0.011282315,0.450477258,0.484464414,885,7,19,5,log2,FALSE,979,0.109960719
26,0.033804982,0.441307577,0.47354153,321,36,15,7,0.5,TRUE,740,0.062343258
27,0.301129381,0.361677729,0.402739352,737,44,13,15,0.5,FALSE,133,0.049581123
28,0.344267196,0.350827879,0.39011184,115,24,2,19,0.5,TRUE,612,0.044043477
29,-0.01032723,0.451069838,0.484235589,122,48,3,8,sqrt,TRUE,890,0.066085698
30,-0.010916827,0.450700945,0.484376861,576,18,10,16,log2,TRUE,750,0.187102848
31,-0.011282315,0.450477258,0.484464414,634,39,17,8,0.9,FALSE,836,0.081411992
32,-0.011282315,0.450477258,0.484464414,146,9,15,12,0.3,FALSE,488,0.17276735
33,-0.011282315,0.450477258,0.484464414,105,46,5,2,0.3,FALSE,829,0.172334507
34,0.295785807,0.368940249,0.404276096,304,15,8,18,0.3,TRUE,442,0.036697607
35,-0.010897938,0.450712607,0.484372336,523,18,4,15,0.9,TRUE,61,0.130428979
36,-0.011282315,0.450477258,0.484464414,603,3,4,8,log2,FALSE,507,0.096271684
37,0.168743466,0.406538217,0.43923123,935,28,3,6,0.3,TRUE,409,0.053040612
38,0.314440065,0.348297899,0.39888563,852,32,11,14,0.7,FALSE,168,0.037979573
39,0.636422833,0.229162271,0.290485178,272,6,20,18,sqrt,FALSE,68,0.010028467
40,0.300971161,0.367230167,0.402784939,538,35,18,6,sqrt,TRUE,881,0.037164992
41,-0.010904615,0.450708484,0.484373936,659,7,9,13,sqrt,TRUE,602,0.118903831
42,0.248053296,0.377616607,0.417752643,684,8,15,19,0.5,FALSE,967,0.052153139
43,-0.011282315,0.450477258,0.484464414,735,48,12,8,,FALSE,144,0.134338045
44,-0.011282315,0.450477258,0.484464414,357,32,12,3,sqrt,FALSE,646,0.199690888
45,-0.011282315,0.450477258,0.484464414,152,7,19,7,0.5,FALSE,145,0.186651876
46,-0.01103234,0.450629849,0.484404534,952,7,9,12,,TRUE,458,0.166748991
47,-0.011282315,0.450477258,0.484464414,770,22,18,1,0.7,FALSE,964,0.132677743
48,0.097753024,0.425379907,0.457602505,949,11,10,4,sqrt,TRUE,288,0.056351254
49,-0.011282315,0.450477258,0.484464414,265,48,12,7,0.7,FALSE,527,0.09770637
50,0.705146454,0.136492266,0.261594647,977,6,4,14,0.9,FALSE,55,0.000709138
51,-0.011282315,0.450477258,0.484464414,839,11,10,6,0.7,FALSE,574,0.141133489
52,0.584846627,0.234230668,0.310405896,624,3,5,3,0.7,TRUE,568,0.007205628
53,0.014278708,0.445287392,0.478302603,428,40,19,5,0.3,TRUE,52,0.06165167
54,0.56444042,0.25045962,0.317943142,970,5,13,7,0.7,TRUE,692,0.020558724
55,-0.011028525,0.450632192,0.48440362,848,38,15,20,0.7,TRUE,957,0.185976203
56,-0.011051427,0.450618138,0.484409107,935,13,7,14,sqrt,TRUE,764,0.184897459
57,-0.011022611,0.450635823,0.484402204,851,29,9,9,log2,TRUE,401,0.174433357
58,-0.011282315,0.450477258,0.484464414,929,33,9,7,0.9,FALSE,368,0.061038173
59,0.002741968,0.447739624,0.481093454,864,17,9,1,0.7,TRUE,418,0.06565239
60,-0.011282315,0.450477258,0.484464414,935,7,10,12,0.7,FALSE,705,0.196229937
61,-0.010906014,0.45070762,0.484374271,599,24,2,4,,TRUE,604,0.192506863
62,-0.011282315,0.450477258,0.484464414,321,5,5,20,0.3,FALSE,756,0.157285636
63,0.634838245,0.229541744,0.291117504,496,41,18,4,0.3,TRUE,270,0.008877307
64,-0.010905936,0.450707668,0.484374252,496,3,18,18,0.7,TRUE,382,0.08625948
65,-0.011282315,0.450477258,0.484464414,730,24,12,4,0.7,FALSE,529,0.061856932
66,-0.011012188,0.450642226,0.484399707,468,23,14,10,0.5,TRUE,206,0.084089267
67,-0.011282315,0.450477258,0.484464414,438,46,7,20,0.5,FALSE,425,0.109587443
68,-0.011282315,0.450477258,0.484464414,50,22,11,7,0.3,FALSE,486,0.088357203
69,0.601368166,0.227895798,0.304166699,741,16,18,16,0.9,TRUE,684,0.016959107
70,0.060721898,0.434811392,0.466898818,577,45,12,3,0.9,TRUE,698,0.062083893
71,-0.011008902,0.450644245,0.48439892,875,15,6,1,sqrt,TRUE,496,0.122254795
72,-0.011007101,0.450645352,0.484398488,836,7,16,14,0.7,TRUE,745,0.13927085
73,-0.010891467,0.450716605,0.484370786,556,28,9,5,0.7,TRUE,924,0.150192895
74,-0.011282315,0.450477258,0.484464414,838,9,15,8,log2,FALSE,61,0.111481159
75,-0.011282315,0.450477258,0.484464414,989,10,16,5,0.9,FALSE,693,0.106226377
76,-0.011282315,0.450477258,0.484464414,622,41,12,15,0.5,FALSE,860,0.181370946
