iteration,fitness,r2,mae,rmse,param_n_estimators,param_min_samples_leaf,param_max_features,param_bootstrap
1,-0.4598754377048995,0.2572790890632324,0.3201113699037968,0.3970431568643351,152,20,,True
2,-0.4199479211275122,0.28732344275379396,0.31834164812507554,0.38892971575623064,910,15,sqrt,False
3,-0.41642725185151275,0.2908167038009567,0.319268601293928,0.38797535435854147,156,8,sqrt,True
4,-0.4024835830417706,0.29997697141280766,0.3169990136019398,0.38546154085263845,750,7,sqrt,True
5,-0.4587860557317021,0.25791279077779217,0.31982510767099853,0.39687373883849575,171,19,,True
6,-0.5956921184943547,0.12383697559021778,0.288290769422163,0.4312383246624094,264,11,,False
7,-0.34984724524741445,0.33331262310016563,0.3069882671918185,0.3761716011557616,508,4,sqrt,True
8,-0.32601748545356113,0.3478618636930969,0.3018350205927065,0.37204432855395153,921,3,sqrt,True
9,-0.28594388532179543,0.3722230270796093,0.2931377345069834,0.36502917789442135,711,2,sqrt,True
10,-0.41989616446835937,0.28347258521152285,0.3133896832847279,0.38997906639515434,393,12,,True
11,-0.6360483622118032,0.08592302085106729,0.2815014430043128,0.4404699400585577,463,6,,False
12,-0.17785166364246355,0.4210604878630707,0.24836900150293176,0.3505431500026025,435,1,sqrt,False
13,-0.6315233417829947,0.10406836953245424,0.29951557187348965,0.43607613944195933,509,12,,False
14,-0.4739819695043481,0.25526649314226735,0.331667723748123,0.3975807388984925,906,17,sqrt,True
15,-0.5751628024779103,0.13476017466082968,0.2813812259053985,0.42854175123334143,524,10,,False
16,-0.4245862268078438,0.2845442778854047,0.3194431885449059,0.3896873161483426,525,16,log2,False
17,-0.4655557215061993,0.2602736346711716,0.32958741864022584,0.39624193753714504,832,15,sqrt,True
18,-0.4488927898223249,0.2707972350378359,0.3262767203230088,0.393413304537152,612,12,log2,True
19,-0.4459605618164249,0.2715675273904298,0.32432263037914755,0.39320545882770713,616,20,sqrt,False
20,-0.23664801099973287,0.39700755160976187,0.27590458750773816,0.3577509751017566,881,3,sqrt,False
21,-0.4393838699114472,0.2755011597034783,0.32274268888334157,0.39214234073158394,534,19,log2,False
22,-0.3635900800651922,0.32219943698535647,0.306495622337138,0.3792938947134107,696,9,sqrt,False
