iteration,r2,mae,rmse,param_C,param_gamma,param_kernel,param_degree,param_coef0,param_tol,param_epsilon,param_max_iter,param_shrinking
1,0.487331842,0.265076634,0.34494023,0.176701694,5.669849511,linear,2,7.415504998,0.001570297,0.252442935,10144,TRUE
2,0.402830443,0.278910949,0.372284115,0.008632008,0.000602522,linear,5,0.317826795,1.49E-05,0.102758287,16247,TRUE
3,-0.077180931,0.5,0.5,0.100519812,0.000518005,poly,5,2.20440622,0.000896738,0.593373027,1425,TRUE
4,-0.088111096,0.425896648,0.50253035,659.8711072,1.452824664,sigmoid,4,2.778713417,4.34E-05,0.223160624,23059,TRUE
5,-0.077180931,0.5,0.5,897.9855655,0.122294675,linear,5,0.967163768,0.000683848,0.849019423,40565,FALSE
6,-0.077180931,0.5,0.5,0.390544128,0.002858549,linear,5,5.362280915,0.000684792,0.973384606,25807,TRUE
7,-0.077180931,0.5,0.5,0.001905434,7.392266141,rbf,4,5.773521453,4.99E-05,0.707526118,4003,TRUE
8,-0.077180931,0.5,0.5,51.41096649,0.000996251,rbf,2,8.55317721,0.000348902,0.86781883,25911,FALSE
9,-8.51E-05,0.462985119,0.481774878,0.631796709,1.993893849,sigmoid,4,1.626540972,0.00109881,0.361717993,44920,FALSE
10,0.351580334,0.322845203,0.387930356,0.002456459,5.551721685,linear,3,5.34139877,0.007886714,0.252362816,31294,FALSE
11,-0.077180931,0.5,0.5,0.205352037,0.00012018,rbf,3,6.84614251,4.93E-05,0.844423401,4665,TRUE
12,0.445095559,0.260814067,0.358868035,0.437436444,0.00040756,linear,4,4.01164787,0.000305866,0.075526719,38170,FALSE
13,-0.077180931,0.5,0.5,0.010969527,0.009022004,poly,5,3.956319011,3.52E-05,0.915402114,31071,TRUE
14,-0.077180931,0.5,0.5,0.07417652,0.039841906,rbf,3,2.466275077,0.000436647,0.565754453,18219,FALSE
15,-0.077180931,0.5,0.5,0.001541274,1.627136072,sigmoid,4,2.193207592,0.000223492,0.99756223,34392,FALSE
16,0.065691463,0.384535217,0.465662038,233.8643926,0.097611254,linear,2,8.611029097,0.005829385,0.161312906,11484,FALSE
17,-0.077180931,0.5,0.5,2.646450934,0.040194932,linear,5,3.816192865,0.00764744,0.996160166,35676,FALSE
18,-0.077180931,0.5,0.5,0.214814572,0.002273763,linear,2,6.81710369,0.003063462,0.541600627,18486,FALSE
19,0.298309685,0.38257934,0.40355099,618.773696,0.108435438,linear,4,4.347652507,6.73E-05,0.459186469,48323,FALSE
20,0.495112471,0.269744872,0.342312689,65.04020247,0.000235914,poly,2,8.705185698,0.009133996,0.305460344,42874,TRUE
21,-0.077180931,0.5,0.5,0.015570196,0.000106564,poly,4,7.625108001,0.002795016,0.54398524,35757,TRUE
22,-0.077180931,0.5,0.5,18.53752358,0.893053964,rbf,5,0.194767424,0.000657476,0.92980763,21153,TRUE
23,-0.077180931,0.5,0.5,0.141512359,0.000379617,linear,3,8.780095992,0.003884278,0.947479951,6613,FALSE
24,0.143234166,0.441125593,0.445919789,0.497398012,0.000299951,linear,3,1.283914645,0.000129555,0.480529554,37031,TRUE
25,-0.077180931,0.5,0.5,0.089351106,0.444662896,rbf,5,9.64362906,0.000817848,0.929624358,48836,TRUE
26,-0.077180931,0.5,0.5,2.330561432,0.008215507,rbf,5,9.951493567,0.008225007,0.653379277,29711,FALSE
27,0.471261273,0.273879759,0.35030492,36.70373763,0.064030367,linear,3,2.24697337,0.002055425,0.344704707,39555,TRUE
28,-0.077180931,0.5,0.5,0.001748242,0.357531613,poly,2,0.70993086,2.15E-05,0.634791928,16003,TRUE
29,0.397530822,0.300755192,0.373932396,0.004439648,0.000143597,linear,4,0.708573499,0.000811393,0.245624588,44842,FALSE
30,-0.077180931,0.5,0.5,2.396919408,0.300317356,poly,3,7.233525659,2.62E-05,0.883559244,38762,FALSE
31,-1.627318361,0.61638156,0.780875912,0.289932926,0.599453766,poly,5,8.074969978,4.86E-05,0.198505815,7352,FALSE
