iteration,r2,mae,rmse,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma,param_max_delta_step,param_scale_pos_weight
1,0.331618459,0.241473696,0.349575527,704,4,0.017253119,0.710011727,0.689284295,0.894588486,0.870679795,0.892179568,0.086938833,7,0.158913397,1,0.827956962
2,0.478295149,0.311222805,0.37324642,567,12,0.017695431,0.67953506,0.859953775,0.817976592,0.688176249,0.589265684,0.809430457,1,3.794036836,2,1.547209092
3,0.35175363,0.302194447,0.384294839,398,7,0.055089055,0.982885229,0.734637818,0.637098337,0.638686551,0.847494366,0.603726031,1,3.648658933,8,0.687239244
4,0.379213731,0.308629872,0.372856033,994,9,0.032852057,0.717271313,0.85145592,0.954180699,0.74465401,0.19228859,0.069555149,4,3.865341704,1,1.782976582
5,0.381749413,0.297627383,0.371775487,937,4,0.120236605,0.781364121,0.933644171,0.665061639,0.74210828,0.670175174,0.701820313,2,3.045655028,2,1.301209816
6,0.411007054,0.265781765,0.358981831,300,5,0.144055461,0.707979131,0.970156472,0.875264783,0.68784607,0.324282734,0.768313578,1,1.14524036,0,1.707568701
7,0.447489915,0.244194346,0.342083417,460,7,0.029194696,0.96525445,0.826872021,0.887165708,0.685050618,0.499231259,0.884683154,8,0.714357952,2,0.869941262
8,0.36479867,0.298010189,0.378919285,624,11,0.086195066,0.833834396,0.959129153,0.759760202,0.687728304,0.997537606,0.509526294,2,3.778910788,1,0.729261979
9,0.399473178,0.290675337,0.364099328,213,15,0.207339552,0.838563612,0.753906925,0.838355371,0.787219955,0.25141412,0.553225896,1,3.401417051,1,1.522565554
10,0.3733137,0.311618192,0.37535384,599,15,0.087379305,0.856384719,0.644620869,0.7739061,0.781489483,0.953815928,0.87585294,5,4.859440494,2,1.261522512
11,0.379070243,0.305188176,0.372917051,158,13,0.09654899,0.855579798,0.843588085,0.661135707,0.90500432,0.53937903,0.778626479,9,4.592467472,9,0.986234086
12,0.361395969,0.303894308,0.380331395,69,4,0.279438599,0.951488751,0.932666212,0.72300565,0.623170067,0.878009599,0.946949445,2,3.659537974,1,1.966976741
13,0.389571716,0.30257189,0.368414713,595,15,0.046470548,0.863900329,0.978739472,0.666050784,0.811069515,0.606593917,0.964362906,9,3.776325983,3,1.569423459
14,0.352670075,0.291238609,0.383920517,458,13,0.198464637,0.775240034,0.807030336,0.648401678,0.689878935,0.338085562,0.588308718,4,2.942200572,0,0.606489629
15,0.355134763,0.315092215,0.382911359,696,3,0.076393117,0.962168005,0.94385416,0.62834294,0.695201854,0.668977778,0.214236807,3,3.616762829,9,1.364317475
16,0.319070109,0.309956793,0.397336484,298,15,0.147162153,0.762823985,0.637730319,0.8635931,0.741719027,0.411102276,0.863836748,1,3.366822736,10,0.647626807
17,0.374254179,0.307625661,0.374957204,462,14,0.108397756,0.944669015,0.699462534,0.676083563,0.779445419,0.42188164,0.278545145,4,4.37242977,1,1.164696118
18,0.395897448,0.291637226,0.365665836,932,11,0.038393531,0.860857958,0.816235175,0.605903143,0.63730511,0.753565504,0.236379491,7,2.428205627,3,1.796975591
19,0.323731042,0.31116337,0.39551183,974,3,0.057744765,0.600862151,0.756168703,0.970607229,0.914051743,0.285249229,0.696591504,9,3.30935656,7,0.732195238
20,0.411690632,0.245562939,0.358675355,353,6,0.290925716,0.831672116,0.816878081,0.899190224,0.622866109,0.584177594,0.502850383,9,0.78716364,8,0.620167198
21,0.418444043,0.261405984,0.355627773,240,4,0.182560181,0.870085021,0.694081558,0.647954646,0.956114926,0.246215348,0.594519154,10,0.409917027,10,1.375508434
22,0.29280912,0.311093491,0.407414747,585,8,0.281064815,0.68170368,0.88647672,0.695474381,0.758314339,0.671690223,0.29999708,6,4.645091659,1,0.513973185
23,0.377773825,0.274300955,0.373467729,686,12,0.29886797,0.629304288,0.685261725,0.706080166,0.973303751,0.880864174,0.879270242,6,1.424936956,7,1.750617432
24,0.426264414,0.265893874,0.352052672,770,7,0.187386552,0.994893225,0.861590527,0.603129243,0.926841654,0.299378752,0.663388715,3,1.322329607,1,1.613625026
25,0.425294312,0.251881002,0.352498907,209,7,0.091709319,0.684251862,0.737152115,0.874998852,0.941165126,0.505409058,0.251121252,1,0.461492339,6,1.744022134
