flood,lulc,Density_River,Density_Road,Distan2river_met,Distan2road_met,aspect,curvature,dem,flowDir,slope,twi,NDVI,rainfall,NDBI,NDWI
1,0.6,0.368133633,0.428416462,0.759466956,0.011299563,0.374026862,0.238528853,0.232371064,0.694091251,0.056906487,0.750083374,0.578075321,0.684552208,0.23088345,-0.2267614
1,0.4,0.601027947,0.1376726,0.152882324,0.04533141,0.217046,0.419091828,0.17378486,0.849860019,0.098230496,0.698343571,0.117272448,0.186870854,0.11774019,-0.4518031
1,0.4,0.238676518,0.167240688,0.840779324,0.052151478,0.928219989,0.593524395,0.237810141,0.244469939,0.063164508,0.63182388,0.074757557,0.132131122,0.044402752,-0.51813215
1,0.3,0.699646643,0.484258283,0.242178139,0.089523057,0.680183099,0.207364244,0.205160387,0.054850551,0.029000802,0.575139823,0.165084719,0.435090032,-0.22190201,0.70899105
1,0.3,0.358496627,0.448614758,0.222250061,0.055097954,0.73537879,0.244162493,0.214957202,0.137484793,0.127129883,0.503940975,0.157324107,0.714738685,0.15130338,-0.27885425
1,0.4,0.551557983,0.508186809,0.216527268,0.003957771,0.305104352,0.436483803,0.522175777,0.028308124,0.053250316,0.636642086,0.597588792,0.64660727,0.028530924,-0.5945317
1,0.4,0.159653068,0.195553491,0.335427839,0.112822658,0.07576265,0.518594513,0.683577932,0.443070973,0.10607251,0.507646051,0.160829891,0.64660727,-0.33704737,-0.6216216
1,0.6,0.345647286,0.170816206,0.478352857,0.006280346,0.639473803,0.266642843,0.33077131,0.076423983,0.091356286,0.724733954,0.215847822,0.64660727,0.1678875,-0.36243704
1,0.4,0.492129778,0.595808978,0.224147299,0.055802255,0.408764183,0.621639844,0.52371256,0.018786676,0.018002705,0.956214107,0.482111166,0.714738685,-0.2173913,-0.49828768
1,0.3,0.764535818,0.135898776,0.091131256,0.078504544,0.600769008,0.506048667,0.120884022,0.030047923,0.053101816,0.86468507,0.150642474,0.714738685,0.11735808,-0.34469855
1,0.3,0.573401863,0.238421265,0.165085272,0.0424543,0.859462277,0.29356797,0.144363726,0.20245825,0.173996158,0.368285919,0.081881064,0.269175301,0.08746518,-0.26486486
1,0.6,0.890780597,0.482127984,0.196039487,0.084361211,0.584991357,0.251687303,0.22894053,0.11521282,0.05861051,0.634613501,0.188136607,0.452534315,0.18901831,-0.48326233
1,0.3,0.213620302,0.345695598,0.588689051,0.192746344,0.043173933,0.381107754,0.80224557,0.852724591,0.080264222,0.700938019,0.121804088,0.61588595,-0.10869092,-0.55752754
1,0.3,0.25248956,0.406646521,0.684124262,0.070277746,0.122929238,0.417389545,0.557830809,0.105587085,0.02801304,0.845245009,0.343080013,0.708688758,-0.19799362,-0.6710342
1,0.4,0.502088018,0.137536675,0.134905905,0.123069448,0.297349369,0.418985595,0.131502451,0.014782485,0.030661017,0.554393007,0.264375176,0.619002326,0.047992166,-0.53453493
1,0.4,0.654352714,0.354287537,0.067991256,0.052324662,0.22651547,0.373490811,0.128799112,0.768935911,0.084706033,0.636622535,0.113960565,0.653493255,-0.4088152,-0.72432566
