flood,Density_River,Density_Road,Distan2river,Distan2road_met,NDVI,aspect,curvature,dem,flowDir,lulc,rainfall,slope,twi,NDBI,NDWI
1,3.03E-04,1.2711849,1084.2618,212.83913,0.057740048,120.06858,-33,212,2,40,543.7235,5.0861926,5.395567,0.23088345,-0.2267614
1,2.27E-04,1.2371418,1329.4915,204.73795,0.061483525,36.027374,-22,365,128,40,465.79077,6.2932734,6.907494,0.11774019,-0.4518031
1,4.49E-06,0.55728793,6316.827,297.0445,0.16278078,332.52557,32,345,64,10,588.2233,12.869495,8.318536,0.044402752,-0.51813215
1,1.55E-04,1.3112665,895.95135,2114.2915,-0.024909623,56.309933,-19,216,2,80,338.1645,3.346183,6.04367,-0.22190201,0.70899105
1,2.87E-04,1.5179712,558.99994,30.38851,0.09610491,63.434948,5,108,4,40,867.1514,1.0386748,7.871607,0.15130338,-0.27885425
1,2.97E-04,1.9939367,451.49997,139.33037,0.25996965,299.4759,8,408,64,10,703.00104,6.113464,8.2666025,0.028530924,-0.5945317
1,3.20E-04,2.73848,1068.4769,456.08383,0.35425955,291.80142,-6,189,2,40,599.4676,2.5001462,6.3630805,-0.33704737,-0.6216216
1,2.55E-04,7.2129464,1855.0859,60.811176,0.13124686,63.434948,5,27,2,60,1150.6046,2.0766673,7.3546042,0.1678875,-0.36243704
1,1.75E-04,6.852604,124.59009,59.77513,0.3518459,71.56505,8,9,1,40,937.09937,1.4687471,8.874465,-0.2173913,-0.49828768
1,2.14E-04,3.544512,4065.2437,85.99999,0.1762917,278.1301,12,201,64,40,516.1493,1.6420193,8.455561,0.11735808,-0.34469855
1,7.56E-05,13.012509,4120.2495,0,0.16809443,0,4,735,64,50,309.84097,4.1736455,7.746737,0.08746518,-0.26486486
1,2.73E-04,1.9255883,2932.113,300.99997,0.22681385,93.14496,-17,465,1,30,693.56775,20.27803,7.114031,0.18901831,-0.48326233
1,2.81E-04,0.89588875,1717.8969,2710.9329,0.19634268,270,2,463,32,40,518.1785,1.3934064,8.559347,-0.10869092,-0.55752754
1,1.71E-04,1.0120895,3904.5051,1165.758,0.28624845,223.93909,16,446,16,10,735.0716,17.205202,8.422224,-0.19799362,-0.6710342
1,3.57E-04,13.253564,90.31358,71.469795,0.30034631,270,6,2,1,30,1188.0552,1.3934064,7.1278443,0.047992166,-0.53453493
1,3.40E-04,0.43810043,1819.2693,3015.2278,0.47389203,328.0919,36,1042,16,10,434.6904,26.849506,7.8869348,-0.4088152,-0.72432566
1,4.04E-04,1.2006557,248.70006,2865.6587,0.14358112,135,-9,331,2,40,659.67914,0.9853842,7.12855,0.03822336,-0.5937721
1,1.39E-05,0.6773994,1273.0121,1028.1642,0.14672926,49.51399,19,365,128,30,695.80316,12.327781,7.9619074,0.17493866,-0.4158031
1,2.34E-04,0.9804362,71.39868,1161.132,0.12542719,45,18,278,1,10,461.86383,10.396187,7.9842205,0.24058019,-0.39964157
1,1.29E-04,0.97368824,1814.966,1466.3363,-0.02836981,-1,0,47,1,80,1085.573,0,11.859108,-0.31137726,0.6716642
1,2.32E-04,0.05258935,650.74097,3929.948,0.3540793,273.36646,-13,621,16,10,781.1781,19.044176,6.8811088,-0.31470293,-0.7348837
1,4.86E-04,9.72746,500.91782,60.811176,0.20292073,90,-3,21,1,40,1047.1208,0.9290393,11.859108,0.004047298,-0.42792127
1,2.42E-04,3.59802,159.2218,1171.6648,-0.06726471,-1,0,509,16,80,309.89728,0,11.859108,-0.3621399,0.47750592
1,1.68E-04,1.8148897,4698.742,182.43353,0.14747883,333.43494,6,205,2,40,354.64743,2.0766673,7.991281,0.16402116,-0.4403927
1,2.85E-04,1.5670774,83.77643,21.499998,0.36720622,45,1,31,128,10,1101.0088,0.3284902,11.859108,-0.049172018,-0.6146145
1,1.85E-04,2.7922163,3703.6807,883.7112,0.11306879,308.82983,-3,395,8,30,499.86005,12.044478,7.655731,0.20925382,-0.37171054
1,1.63E-04,0.799562,1764.1399,112.12451,0.11421775,71.56505,15,368,8,40,532.67535,4.3985453,7.930998,0.07819761,-0.3695587
1,3.23E-04,2.0396347,442.68604,30.405588,0.18163472,234.46233,10,362,4,30,674.7843,1.9973403,7.9778237,0.17107332,-0.43422353
1,1.00E-05,4.8914585,6102.9805,60.811176,0.1689429,161.56505,3,369,8,10,481.3532,2.9355664,8.289822,-0.03454754,-0.48873535
1,7.03E-06,5.965087,5677.57,152.02794,0.21439043,191.30994,-5,26,1,40,973.7952,1.1842326,6.3334537,0.08212128,-0.3122201
1,1.39E-04,0.2564325,1313.9253,212.83913,0.14642256,31.159304,19,263,64,10,713.5303,22.167328,8.173726,-0.09667397,-0.6447855
1,2.99E-04,2.2791333,1003.3844,165.81934,0.18995503,73.61046,13,202,32,30,456.58533,4.108957,7.7866354,0.03749531,-0.4894111
1,6.51E-05,1.177104,530.0914,519.99207,0.46828273,163.81079,-12,167,4,10,1029.5796,21.43472,7.7185287,-0.25387657,-0.69062585
1,1.88E-04,2.3152986,1206.9983,159.27518,0.10874301,163.81079,11,155,2,10,816.4535,7.455642,7.2150464,0.1996598,-0.34188947
1,2.48E-04,3.1362936,1824.5541,545.3053,0.22790658,199.359,1,516,4,30,639.5072,9.033801,7.628239,0.114849366,-0.44627687
1,1.79E-04,5.743646,3763.7715,30.405588,0.30398697,78.69007,7,7,1,40,947.7853,1.1842326,7.694997,0.06537245,-0.44843304
1,4.59E-04,11.253108,30.405588,30.38851,0.31704146,307.87497,-10,12,4,10,1095.3052,2.6465178,7.82023,-0.14199063,-0.6959192
1,2.16E-04,1.0774198,2719.6497,2688.9976,0.19522679,129.28941,29,319,2,10,613.64233,27.409918,8.35916,0.04247191,-0.49850535
1,1.50E-04,0.6823714,4376.107,2007.1017,0.113481775,275.52753,-4,338,32,40,541.9046,7.196245,7.566628,0.1009013,-0.36015964
1,2.12E-04,3.6003397,1339.0804,926.3237,0.21221909,333.43494,5,243,1,10,510.06754,5.1797853,7.933657,0.13051024,-0.43061107
1,2.02E-04,5.3529644,420.9958,274.28836,0.34351686,182.48955,0,46,1,10,992.2761,5.3320456,7.3060317,-0.096993305,-0.62239623
1,2.69E-04,2.17926,1177.6239,375.33612,0.19228792,251.56505,10,244,4,30,446.60168,1.4687471,8.589158,-0.012797075,-0.5151864
1,4.16E-04,7.0413947,393.91092,21.499998,0.26232034,90,-11,158,8,40,560.5148,1.3934064,11.859108,-0.1729548,-0.5282284
1,4.04E-04,12.251444,603.40735,212.83913,0.1946723,0,5,11,1,40,1077.5101,0.4645502,11.859108,0.23898375,-0.27955183
1,1.27E-04,1.6736913,1254.3899,1352.1322,0.31146094,160.11484,13,610,2,30,635.7391,11.454289,7.720366,-0.017607551,-0.5903546
1,1.37E-04,0.10542997,236.23573,641.1085,0.24608137,36.869896,-4,389,64,10,785.11066,2.3215306,9.281996,-0.008227067,-0.70741904
1,1.95E-04,1.9615012,2074.176,42.999996,0.12283252,271.73572,-16,274,64,30,517.27576,7.623457,7.0891304,0.09171005,-0.4327227
1,4.45E-04,11.488211,71.47445,60.809933,0.2577832,78.69007,-6,12,1,40,1069.5377,1.1842326,7.459422,0.05468952,-0.44878563
1,1.69E-04,4.4152117,881.7277,294.39883,0.38538837,94.398705,-11,552,4,10,681.8857,6.0347114,6.513139,-0.2328712,-0.63976485
1,2.02E-04,5.773768,1161.5807,56.576008,0.014793666,315,0,3,64,80,935.94037,1.3137449,7.893446,-0.46107784,-0.031349067
1,1.26E-04,3.9557955,2307.3933,129.68169,0.20897011,284.03625,-14,482,16,40,679.49646,3.8251698,7.0025625,-0.13859203,-0.517179
1,1.76E-04,2.7101252,177.11955,0,0.33704898,183.81407,0,61,4,10,883.5511,3.487623,7.679184,0.040603664,-0.5514236
1,3.60E-04,4.8977203,21.499998,91.21677,0.41091603,23.19859,19,179,64,10,472.93256,1.7684314,9.541855,-0.2749274,-0.6377202
